epoch,train_l1,train_perc,val_l1,val_perc,train_total,val_total,learning_rate
73,0.044062,4.262097,0.046781,4.455104,0.896481,0.937802,0.00080000
74,0.043291,4.338474,0.042496,4.310921,0.910985,0.904680,0.00080000
75,0.041783,4.348120,0.039272,4.379185,0.911407,0.915109,0.00080000
76,0.041205,4.348058,0.040048,4.227906,0.910816,0.885629,0.00080000
77,0.039290,4.237812,0.040059,4.400563,0.886853,0.920172,0.00080000
78,0.040539,4.336242,0.038143,4.396760,0.907787,0.917495,0.00080000
79,0.038631,4.348314,0.040672,4.455365,0.908293,0.931745,0.00080000
80,0.036956,4.219863,0.039150,4.306318,0.880929,0.900414,0.00080000
81,0.036647,4.177360,0.038288,4.253759,0.872119,0.889040,0.00080000
82,0.037370,4.244038,0.035911,4.067539,0.886177,0.849418,0.00080000
83,0.038361,4.237396,0.038219,4.367211,0.885840,0.911661,0.00080000
84,0.037061,4.208585,0.037567,4.377398,0.878778,0.913047,0.00080000
85,0.036648,4.228563,0.040509,4.532595,0.882361,0.947028,0.00080000
86,0.038274,4.199212,0.039852,4.337513,0.878117,0.907354,0.00080000
87,0.038825,4.102034,0.061765,4.265759,0.859232,0.914916,0.00080000
88,0.052431,4.299206,0.065028,4.315020,0.912272,0.928032,0.00080000
89,0.055176,4.245779,0.053228,4.369731,0.904332,0.927174,0.00080000
90,0.049804,4.268034,0.047114,4.466415,0.903411,0.940397,0.00080000
91,0.046108,4.304309,0.046810,4.376672,0.906970,0.922144,0.00080000
92,0.043671,4.146399,0.041117,3.984962,0.872951,0.838109,0.00080000
93,0.046342,4.243986,0.047870,4.594505,0.895139,0.966770,0.00080000
94,0.042437,4.275204,0.046697,4.461921,0.897478,0.939081,0.00080000
95,0.040313,4.115062,0.043440,4.411981,0.863326,0.925836,0.00080000
96,0.040090,4.292009,0.040045,4.337635,0.898492,0.907572,0.00080000
97,0.040248,4.268737,0.041731,4.347082,0.893995,0.911148,0.00080000
