epoch,train_l1,train_perc,val_l1,val_perc,train_total,val_total,learning_rate
365,0.031868,4.106565,0.032789,4.291740,0.853181,0.891137,0.00010000
366,0.031182,4.043254,0.030201,3.995680,0.839832,0.829338,0.00010000
367,0.030395,4.076915,0.033215,4.345551,0.845777,0.902325,0.00010000
368,0.030270,4.011032,0.033222,4.216073,0.832476,0.876437,0.00010000
369,0.030828,4.109267,0.035555,4.392658,0.852681,0.914086,0.00010000
370,0.030332,3.992360,0.035341,4.484831,0.828804,0.932307,0.00010000
371,0.031306,4.118596,0.036399,4.471390,0.855025,0.930677,0.00010000
372,0.031605,4.143614,0.034064,4.283473,0.860327,0.890758,0.00010000
373,0.031915,4.107392,0.034611,4.368894,0.853394,0.908390,0.00005000
374,0.030526,4.036102,0.032780,4.188578,0.837746,0.870496,0.00005000
375,0.031549,4.060394,0.033036,4.301916,0.843628,0.893419,0.00005000
376,0.033248,4.198730,0.030848,4.128135,0.872994,0.856475,0.00005000
377,0.031661,4.072024,0.030592,4.042963,0.846066,0.839185,0.00005000
378,0.030493,4.041559,0.032442,4.246231,0.838805,0.881688,0.00005000
379,0.029660,3.991043,0.034849,4.359246,0.827868,0.906699,0.00005000
380,0.030830,4.093278,0.031189,4.116555,0.849485,0.854500,0.00005000
381,0.030601,4.063495,0.033600,4.338318,0.843300,0.901264,0.00005000
382,0.031543,4.122983,0.035994,4.377861,0.856140,0.911566,0.00005000
383,0.030556,4.024024,0.031837,4.095055,0.835361,0.850848,0.00005000
384,0.032333,4.153887,0.034046,4.311989,0.863110,0.896444,0.00005000
385,0.030986,4.031895,0.034465,4.406357,0.837365,0.915736,0.00005000
386,0.029531,3.949817,0.033896,4.338939,0.819494,0.901684,0.00005000
387,0.031088,4.079769,0.032451,4.215412,0.847042,0.875533,0.00005000
388,0.031886,4.113282,0.030610,4.064683,0.854543,0.843546,0.00005000
389,0.032229,4.135211,0.031801,4.198895,0.859271,0.871580,0.00005000
390,0.031547,4.148206,0.034408,4.302948,0.861188,0.894997,0.00005000
391,0.030853,4.053305,0.032224,4.070260,0.841514,0.846277,0.00005000
392,0.030424,4.058220,0.032041,4.068569,0.842068,0.845755,0.00005000
393,0.032252,4.172013,0.032194,4.308842,0.866655,0.893963,0.00005000
394,0.030608,4.042535,0.034476,4.332369,0.839115,0.900950,0.00005000
395,0.030800,4.008873,0.031288,4.128389,0.832574,0.856966,0.00005000
396,0.030746,4.117899,0.033921,4.262582,0.854326,0.886437,0.00005000
397,0.030250,4.025373,0.034505,4.348721,0.835324,0.904249,0.00005000
398,0.030418,3.969768,0.033237,4.312606,0.824372,0.895759,0.00005000
399,0.031147,4.045238,0.030773,4.015882,0.840194,0.833949,0.00005000
400,0.029248,3.940798,0.032392,4.245077,0.817408,0.881407,0.00005000
401,0.029735,4.032262,0.035130,4.352937,0.836188,0.905717,0.00005000
402,0.031419,4.057694,0.033877,4.379783,0.842958,0.909834,0.00005000
403,0.031822,4.178895,0.030957,4.080713,0.867601,0.847100,0.00005000
404,0.030385,4.022481,0.031635,4.118726,0.834881,0.855380,0.00005000
405,0.031600,4.195638,0.030897,4.060740,0.870728,0.843046,0.00005000
406,0.029633,3.974731,0.031987,4.135849,0.824579,0.859157,0.00005000
407,0.030232,4.005538,0.032937,4.132138,0.831339,0.859365,0.00005000
408,0.031587,4.087888,0.031687,4.155700,0.849164,0.862827,0.00005000
409,0.031166,4.041170,0.036539,4.525463,0.839400,0.941632,0.00005000
410,0.030983,4.082841,0.035471,4.397725,0.847551,0.915016,0.00005000
411,0.030330,4.014484,0.031262,4.197414,0.833227,0.870745,0.00005000
412,0.031554,4.038235,0.034751,4.373044,0.839201,0.909360,0.00005000
413,0.031228,4.094301,0.029854,3.999753,0.850088,0.829805,0.00005000
414,0.033007,4.208060,0.029874,4.115082,0.874620,0.852890,0.00005000
415,0.032002,4.146282,0.028593,3.858666,0.861259,0.800327,0.00005000
416,0.030225,4.019842,0.033310,4.217708,0.834193,0.876852,0.00005000
417,0.032011,4.126570,0.030861,4.039320,0.857325,0.838725,0.00005000
418,0.030610,4.045021,0.036344,4.397053,0.839614,0.915755,0.00005000
419,0.030947,4.059269,0.031657,4.079038,0.842800,0.847465,0.00005000
420,0.031958,4.112025,0.034653,4.373827,0.854363,0.909418,0.00005000
421,0.030884,4.071658,0.035551,4.429753,0.845216,0.921502,0.00005000
422,0.031220,4.036040,0.034314,4.369731,0.838428,0.908260,0.00005000
423,0.031004,4.101292,0.032132,4.245737,0.851262,0.881279,0.00005000
424,0.030395,4.007607,0.033055,4.220184,0.831917,0.877092,0.00005000
425,0.031806,4.129911,0.033664,4.190845,0.857788,0.871833,0.00005000
426,0.029922,4.000291,0.032745,4.212639,0.829980,0.875273,0.00005000
427,0.030889,4.050079,0.029676,4.086081,0.840905,0.846893,0.00005000
428,0.029772,3.980799,0.033863,4.228908,0.825932,0.879645,0.00005000
429,0.030255,4.018681,0.032796,4.168065,0.833991,0.866409,0.00005000
430,0.031311,4.080759,0.032516,4.133995,0.847463,0.859315,0.00005000
431,0.030416,4.022008,0.031471,4.145610,0.834818,0.860593,0.00005000
432,0.030815,4.078879,0.034060,4.326375,0.846591,0.899335,0.00005000
433,0.030403,4.040864,0.033430,4.311533,0.838576,0.895736,0.00005000
434,0.031137,4.067366,0.033453,4.279445,0.844610,0.889342,0.00005000
435,0.031978,4.132171,0.030745,3.967020,0.858412,0.824149,0.00005000
436,0.030622,4.009818,0.032128,4.278061,0.832585,0.887740,0.00005000
437,0.031446,4.101361,0.034888,4.407546,0.851719,0.916397,0.00005000
438,0.031317,4.088921,0.029630,3.999408,0.849101,0.829512,0.00005000
439,0.030531,4.014884,0.034525,4.258821,0.833508,0.886289,0.00005000
440,0.030465,4.062220,0.030887,4.088293,0.842909,0.848545,0.00005000
441,0.030567,4.060128,0.030293,4.014582,0.842592,0.833209,0.00005000
442,0.030364,3.967266,0.032694,4.251605,0.823817,0.883015,0.00005000
443,0.030563,4.083077,0.035633,4.419355,0.847179,0.919504,0.00005000
444,0.031436,4.100353,0.034039,4.204117,0.851506,0.874863,0.00005000
445,0.031528,4.105601,0.033016,4.270903,0.852649,0.887197,0.00005000
446,0.031420,4.108178,0.035680,4.343578,0.853056,0.904395,0.00005000
447,0.029705,3.976479,0.034228,4.396589,0.825001,0.913546,0.00005000
448,0.031611,4.099755,0.031826,4.160403,0.851562,0.863906,0.00005000
449,0.031481,4.121631,0.029625,3.962306,0.855808,0.822087,0.00005000
450,0.030540,4.062313,0.034361,4.352149,0.843002,0.904791,0.00005000
